pos_error,yaw_error
0.262015,0.0398814
0.261973,0.0391719
0.261932,0.0384877
0.261892,0.0378263
0.261854,0.0371826
0.261817,0.0365503
0.261779,0.0359228
0.261742,0.0353219
0.261728,0.0349255
0.261742,0.0347859
0.261784,0.0348757
0.261849,0.0351322
0.26192,0.0354073
0.26198,0.0355703
0.26202,0.0355554
0.262034,0.0353375
0.262023,0.034923
0.261988,0.0343451
0.26194,0.0336833
0.261889,0.0330215
0.261842,0.0323944
0.261801,0.0318138
0.261765,0.0312769
0.261734,0.0307733
0.261713,0.0302883
0.261705,0.0298254
0.261712,0.0293832
0.261731,0.0289592
0.261764,0.0285508
0.261808,0.0281561
0.261862,0.0277754
0.261923,0.0274049
0.26199,0.027042
0.262063,0.0266859
0.26214,0.0263368
0.262221,0.0259963
0.262307,0.0256661
0.262398,0.0253487
0.262493,0.0250455
0.262593,0.0247589
0.262698,0.0244916
0.262807,0.0242444
0.262922,0.0240202
0.263042,0.02382
0.263164,0.0236285
0.263285,0.0234336
0.263401,0.0232258
0.263511,0.0229981
0.263612,0.0227458
0.263702,0.0224649
0.26378,0.0221522
0.263845,0.0218054
0.263896,0.0214264
0.263934,0.0210315
0.263961,0.0206347
0.263979,0.0202466
0.263985,0.0198616
0.263985,0.0195058
0.263979,0.0191803
0.263973,0.0188776
0.263971,0.0185973
0.263974,0.0183496
0.263984,0.0181412
0.264001,0.0179694
0.264025,0.01783
0.264054,0.0177154
0.264085,0.017616
0.264118,0.0175225
0.264151,0.0174256
0.264177,0.0172972
0.264194,0.0171205
0.264197,0.0168767
0.264184,0.0165499
0.264154,0.0161387
0.264108,0.0156519
0.26405,0.0151071
0.263984,0.0145257
0.263914,0.0139289
0.263845,0.0133346
0.263777,0.0127558
0.263714,0.0121996
0.263681,0.0118252
0.263691,0.0116997
0.263751,0.0118476
0.263867,0.012289
0.264007,0.0128502
0.264153,0.0134294
0.264295,0.0140194
0.264433,0.0146251
0.26458,0.0151754
0.264713,0.0157697
0.264843,0.0163491
0.264969,0.016917
0.26509,0.0174724
0.265207,0.0180164
0.265321,0.01855
0.265428,0.0190558
0.265527,0.0195314
0.265622,0.0199905
0.265711,0.0204298
0.265795,0.0208523
0.265876,0.0212635
0.265939,0.0215827
0.265972,0.0217691
0.265998,0.0219274
0.266021,0.0220745
0.26604,0.0222046
0.266057,0.0223239
0.266073,0.022437
0.266087,0.0225464
0.2661,0.0226533
0.266113,0.0227589
0.266124,0.0228637
0.266135,0.0229682
0.266144,0.0230727
0.266153,0.0231767
0.26616,0.0232805
0.266166,0.0233841
0.266171,0.0234876
0.266175,0.0235911
0.266178,0.0236945
0.26618,0.023798
0.266185,0.0238931
0.266196,0.0239505
0.266196,0.023952
0.266196,0.023952
0.266193,0.0239345
0.26618,0.0239007
0.266149,0.0239122
0.266104,0.0239316
0.266051,0.0239416
0.265995,0.0239468
0.265935,0.0239496
0.265872,0.0239511
0.265808,0.0239519
0.265743,0.0239524
0.265676,0.0239526
0.265607,0.0239527
0.265538,0.0239527
0.265467,0.0239527
0.265395,0.0239526
0.265322,0.0239525
0.265248,0.0239523
0.265173,0.0239522
0.265096,0.023952
0.265019,0.0239518
0.26494,0.0239517
0.26486,0.0239515
0.264779,0.0239513
0.264696,0.0239511
0.264613,0.0239509
0.264528,0.0239508
0.264443,0.0239506
0.264356,0.0239504
0.264268,0.0239502
0.264179,0.02395
0.264089,0.0239498
0.263998,0.0239496
0.263905,0.0239494
0.263812,0.0239493
0.263717,0.0239491
0.263621,0.0239489
0.263525,0.0239487
0.263427,0.0239485
0.263328,0.0239483
0.263228,0.0239481
0.263127,0.0239479
0.263025,0.0239478
0.262921,0.0239476
0.262833,0.0239484
0.262763,0.0239498
0.262702,0.0239511
0.262648,0.0239521
0.262596,0.0239529
0.262547,0.0239535
0.262499,0.0239539
0.262451,0.0239541
0.262404,0.0239543
0.262357,0.0239544
0.262311,0.0239545
0.262265,0.0239545
0.262218,0.0239545
0.262172,0.0239545
0.262126,0.0239545
0.262081,0.0239545
0.262035,0.0239545
0.261989,0.0239545
0.261944,0.0239545
0.261899,0.0239544
0.261853,0.0239544
0.261808,0.0239544
0.261763,0.0239544
0.261718,0.0239543
0.261674,0.0239543
0.261629,0.0239543
0.261584,0.0239543
0.26154,0.0239543
0.261496,0.0239542
0.261451,0.0239542
0.261407,0.0239542
0.261363,0.0239542
0.261319,0.0239542
0.261275,0.0239542
0.261232,0.0239541
0.261188,0.0239541
0.261145,0.0239541
0.261101,0.0239541
0.261058,0.023954
0.261015,0.023954
0.260972,0.023954
0.260929,0.023954
0.260886,0.023954
0.260844,0.023954
0.260801,0.0239539
0.260758,0.0239539
0.260716,0.0239539
0.260674,0.0239539
0.260632,0.0239539
0.26059,0.0239539
0.260548,0.0239539
0.260506,0.0239538
0.260464,0.0239538
0.260423,0.0239538
0.260381,0.0239538
0.26034,0.0239538
0.260299,0.0239538
